Model,RMSE,MSE,R2
Linear Regression,0.4855024464000718,0.2357126254604546,0.8379013750538166
SVR,0.4961156258749879,0.24613071423733096,0.8307368972834808
Random Forest Regressor,0.49047587545327515,0.24056658440165668,0.834563327003242
